ranking,last_name,population,ratio,cumpercentage
106,桜井,173000,0.0019711909867576984,34.004132223091766
107,高野,172000,0.0019597968192041856,34.14254359052767
108,渡部,172000,0.0019597968192041856,34.28095495796358
109,吉川,170000,0.0019370084840971604,34.417756890894424
110,山内,164000,0.001868643478776084,34.54973052031006
111,西田,163000,0.0018572493112225714,34.680899432473154
112,飯田,162000,0.0018458551436690586,34.811263627383724
113,菊池,162000,0.0018458551436690586,34.94162782229429
114,西川,161000,0.001834460976115546,35.07118729995232
115,小松,160000,0.0018230668085620332,35.19994206035782
116,北村,158000,0.0018002784734550078,35.32708738625824
117,安田,157000,0.0017888843059014952,35.453427994906136
118,五十嵐,157000,0.0017888843059014952,35.57976860355404
119,川口,155000,0.0017660959707944696,35.70449977769686
120,平田,154000,0.001754701803240957,35.828426234587155
121,関,154000,0.001754701803240957,35.952352691477444
122,中田,153000,0.0017433076356874442,36.0754744311152
123,久保田,152000,0.0017319134681339316,36.19779145350042
124,東,151000,0.0017205193005804188,36.31930375863311
125,服部,151000,0.0017205193005804188,36.440816063765794
126,川崎,150000,0.0017091251330269063,36.56152365164595
127,岩田,150000,0.0017091251330269063,36.682231239526104
128,土屋,149000,0.0016977309654733934,36.80213411015372
129,福島,149000,0.0016977309654733934,36.92203698078134
130,本田,148000,0.0016863367979198809,37.04113513415643
131,辻,148000,0.0016863367979198809,37.16023328753151
132,樋口,148000,0.0016863367979198809,37.279331440906596
133,田口,146000,0.0016635484628128553,37.39682015977661
134,秋山,146000,0.0016635484628128553,37.514308878646624
135,永井,146000,0.0016635484628128553,37.631797597516645
136,山中,146000,0.0016635484628128553,37.74928631638666
137,中西,145000,0.0016521542952593427,37.86597031800414
138,吉村,145000,0.0016521542952593427,37.98265431962162
139,川上,144000,0.0016407601277058299,38.09853360398657
140,大橋,142000,0.0016179717925988045,38.21280345384645
141,石原,142000,0.0016179717925988045,38.32707330370633
142,松岡,141000,0.0016065776250452919,38.44053843631367
143,浜田,141000,0.0016065776250452919,38.55400356892101
144,馬場,141000,0.0016065776250452919,38.66746870152836
145,森本,139000,0.0015837892899382665,38.77932439963063
146,矢野,138000,0.0015723951223847537,38.89037538048037
147,浅野,138000,0.0015723951223847537,39.00142636133012
148,星野,138000,0.0015723951223847537,39.11247734217986
149,松下,137000,0.001561000954831241,39.22272360577706
150,大久保,137000,0.001561000954831241,39.332969869374274
151,吉岡,136000,0.0015496067872777283,39.442411415718944
152,小池,136000,0.0015496067872777283,39.55185296206361
153,野田,134000,0.0015268184521707029,39.65968507390322
154,荒木,132000,0.0015040301170636775,39.765907751237755
155,松浦,131000,0.0014926359495101647,39.871325711319756
156,熊谷,131000,0.0014926359495101647,39.976743671401756
157,大谷,131000,0.0014926359495101647,40.08216163148376
158,内藤,131000,0.0014926359495101647,40.18757959156576
159,黒田,128000,0.0014584534468496267,40.29058339989015
160,尾崎,127000,0.001447059279296114,40.39278249096202
161,川村,126000,0.001435665111742601,40.49417686478135
162,永田,126000,0.001435665111742601,40.59557123860068
163,望月,125000,0.0014242709441890885,40.69616089516747
164,松村,125000,0.0014242709441890885,40.79675055173427
165,堀,125000,0.0014242709441890885,40.89734020830106
166,田辺,125000,0.0014242709441890885,40.99792986486786
167,荒井,124000,0.0014128767766355757,41.09771480418212
168,菅野,124000,0.0014128767766355757,41.19749974349637
169,大島,124000,0.0014128767766355757,41.297284682810634
170,平井,124000,0.0014128767766355757,41.397069622124896
171,早川,123000,0.0014014826090820631,41.49604984418662
172,西山,123000,0.0014014826090820631,41.59503006624835
173,栗原,123000,0.0014014826090820631,41.694010288310075
174,広瀬,122000,0.0013900884415285503,41.792185793119266
175,横田,118000,0.0013445117713144995,41.88714242891832
176,石橋,118000,0.0013445117713144995,41.982099064717374
177,岩本,117000,0.0013331176037609867,42.07625098326389
178,萩原,117000,0.0013331176037609867,42.17040290181041
179,片山,117000,0.0013331176037609867,42.26455482035693
180,関口,115000,0.0013103292686539613,42.35709730439838
181,宮田,115000,0.0013103292686539613,42.44963978843984
182,大石,114000,0.0012989351011004487,42.54137755522875
183,本間,113000,0.001287540933546936,42.63231060476513
184,高山,112000,0.0012761467659934233,42.72243893704898
185,須藤,112000,0.0012761467659934233,42.81256726933283
186,岡崎,112000,0.0012761467659934233,42.90269560161668
187,吉野,111000,0.0012647525984399105,42.99201921664799
188,小田,111000,0.0012647525984399105,43.0813428316793
189,伊東,110000,0.001253358430886398,43.169861729458084
190,鎌田,110000,0.001253358430886398,43.25838062723687
191,篠原,109000,0.0012419642633328851,43.34609480776311
192,上原,109000,0.0012419642633328851,43.43380898828935
193,小西,108000,0.0012305700957793726,43.52071845156306
194,松原,108000,0.0012305700957793726,43.60762791483677
195,福井,107000,0.0012191759282258598,43.69373266085795
196,古賀,107000,0.0012191759282258598,43.779837406879125
197,成田,107000,0.0012191759282258598,43.8659421529003
198,大森,106000,0.001207781760672347,43.951242181668945
199,小泉,106000,0.001207781760672347,44.03654221043759
200,南,106000,0.001207781760672347,44.121842239206224
201,奥村,106000,0.001207781760672347,44.20714226797487
202,内山,105000,0.0011963875931188344,44.29163757949098
203,沢田,104000,0.0011849934255653216,44.375328173754546
204,桑原,104000,0.0011849934255653216,44.45901876801812
